slug,name,country,category,tags,founded,funding_stage,modality,form_factor,interface_depth,indication,target_user,regulatory_stage,description,analyst_note,website,profile_url,logo_url,related_slugs
enspire-dbs,Enspire DBS,United States,Neuromodulation,Therapeutics; Clinical Workflows,2012,Series B,DBS,,,Stroke,,Investigational,Developing an implantable deep brain stimulation system combined with rehabilitation therapy to restore arm motor function after stroke.,"Enspire's DBS+Rehab approach targets the dentate nucleus rather than the more commonly stimulated basal ganglia targets used in movement disorders, extending DBS into stroke motor recovery, a largely untapped indication for the modality. Its EDEN trial results published in Nature Medicine and ongoing FDA IDE-approved RESTORE pivotal study place it further along the regulatory path than most stroke neuromodulation companies, backed by a Cleveland Clinic origin and continued institutional financing.",https://www.enspiredbs.com,https://www.neurofounders.co/startups/enspire-dbs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a783f17640a614f8584325a_1631338073846.jpeg,newronika; neuropace; onward-medical; cortec; epia-neuro
epia-neuro,Epia Neuro,USA,Brain-Computer Interface,Diagnostics; Monitoring,2021,Unknown,ECoG,,,Epilepsy,,Preclinical,Developing minimally invasive brain-computer interfaces that decode motor intent and pair neural sensing with stimulation to restore function after stroke.,"Epia neuro has minimal public information available, making detailed competitive analysis difficult. Based on the domain name and URL, the company appears to operate in the epilepsy diagnostics or monitoring space, placing it adjacent to Ceribell and Epitel, though the specific modality, form factor, and regulatory stage remain undisclosed.",https://epianeuro.com,https://www.neurofounders.co/startups/epia-neuro,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69d39964ee76e0e58a78478e_1775079683491.jpeg,epitel; neurobell; elda-braintech; braincapture; cortec
epiminder,Epiminder,Australia,Neuroimaging,Monitoring; Experimental,2017,Public,EEG,,,Epilepsy,,Other approval,"Developing an implantable seizure monitoring system to provide continuous, objective tracking of epileptic activity over long durations.","Epiminder is developing implantable, long-term EEG monitoring systems, enabling continuous seizure tracking beyond hospital settings. This positions it as infrastructure for epilepsy management rather than a therapeutic solution.",http://www.epiminder.com/,https://www.neurofounders.co/startups/epiminder,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695123a77fce7c69b917b243_epiminder_logo.jpeg,uneeg-medical; epitel; mjn-neuroserveis; theta-neurotech; elda-braintech
epitel,Epitel,USA,Neuroimaging,Monitoring; Clinical Workflows,2014,Series B,EEG,,,Epilepsy,,FDA cleared (510k),"Developing wearable, long-term EEG monitoring systems to enable continuous seizure detection and neurological assessment outside the hospital.","Epitel focuses on wearable, long-duration EEG monitoring using adhesive sensors, improving patient comfort and accessibility compared to traditional systems. Its FDA clearance supports adoption in outpatient neurology.",http://www.epitel.com,https://www.neurofounders.co/startups/epitel,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951240bced39fd30aee575d_epitel_inc_logo.jpeg,theta-neurotech; uneeg-medical; braincapture; mjn-neuroserveis; elda-braintech
epiwatch,EpiWatch,USA,Diagnostics and Assessment,Diagnostics; Monitoring,2017,Seed,Biomarkers,,,Epilepsy,,FDA cleared (510k),"Developing an Apple Watch-based seizure detection and alerting application for epilepsy patients, enabling wrist-worn smartwatch monitoring for tonic-clonic seizures.","EpiWatch occupies a distinctive niche as an Apple Watch-native seizure detection app, leveraging consumer hardware to provide passive monitoring without requiring dedicated medical wearables. Its FDA clearance and Johns Hopkins collaboration lend credibility, though tonic-clonic seizure detection sensitivity on wrist accelerometry is lower than EEG-based systems, limiting its use to a specific patient population.",https://epiwatch.com/,https://www.neurofounders.co/startups/epiwatch,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df7c20e1162d0c6c438da4_epiwatch_inc_logo.jpg,empatica; epitel; braincapture; theta-neurotech; mjn-neuroserveis
evocal-health,EVOCAL Health,Germany,Diagnostics and Assessment,Diagnostics; Data Infrastructure,2020,Defunct,Biomarkers,,,Multi-indication,,Investigational,Unlocking voice as a predictive biomarker using AI to detect diseases and support digital diagnostics and therapies across Longevity and neurodegeneration.,"EVOCAL Health operates in the voice biomarker space, targeting longevity and neurodegeneration through speech analysis. Its positioning overlaps with multiple competitors, with differentiation dependent on dataset quality and partnerships.",https://evocalhealth.com/,https://www.neurofounders.co/startups/evocal-health,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcdabafed87ec629ffce4_vocalsforscience_logo.jpeg,cumulus-neuroscience; insai; neuroventis; bios-health; neurophet
eysz,Eysz,USA,Diagnostics and Assessment,Diagnostics; Monitoring,2018,Non-dilutive,Biomarkers,,,Psychiatry,,Investigational,Developing eye-tracking–based neuroassessment software to objectively detect and monitor concussion and brain injury.,"Eysz uses eye-tracking as a digital biomarker for neurological conditions, particularly concussion. Its non-invasive, software-based approach enables scalable screening but faces competition from other digital assessment tools.",http://www.eyszlab.com,https://www.neurofounders.co/startups/eysz,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69512464577cc8a4d1ec7228_eysz_logo.jpeg,firefly-neuroscience; senseye; evocal-health; neuralight
farow,Farow,Belgium,Diagnostics and Assessment,Pediatric; Monitoring,2017,Non-dilutive,EEG,,,Epilepsy,,CE-Marked,Developing a wearable-based seizure detection system to monitor nocturnal epileptic seizures in children using passive physiological signals.,Farow focuses on pediatric epilepsy monitoring using wearable sensors for nocturnal seizure detection. Its niche focus on children and home monitoring differentiates it from broader EEG platforms.,https://www.epihunter.com,https://www.neurofounders.co/startups/farow,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951237269223418d77a9a98_1761300078729.jpeg,deegtal; theta-neurotech; mon4t; ceribell; empatica
finalspark,FinalSpark,Switzerland,Tools and Infrastructure,Data Infrastructure; Experimental,2014,Seed,MEA,,,Research,,Research only,Operating the first remotely accessible biocomputing research platform using living human brain organoids on multi-electrode arrays as computational substrates.,"FinalSpark is the most operationally distinctive biocomputing company, having built the only remotely accessible organoid computing platform with a subscriber base across ten universities. Its differentiation lies in infrastructure democratization rather than proprietary science, making it closer to cloud-lab infrastructure for wetware research than a product company with defined clinical or commercial endpoints.",https://finalspark.com/neuroplatform/,https://www.neurofounders.co/startups/finalspark,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69d38b3eabbd99d827e22c8a_finalspark_logo.jpeg,cortical-labs; koniku; maxwell-biosystems; 3brain
firefly-neuroscience,Firefly Neuroscience,USA,Diagnostics and Assessment,Diagnostics; Decision Support,2001,Public,Biomarkers,,,Psychiatry,,FDA cleared (510k),Developing EEG-based brain network analytics software to support objective assessment of neurological and psychiatric conditions.,"Firefly Neuroscience provides EEG-based brain network analytics, translating raw signals into clinically meaningful biomarkers. Its FDA clearance strengthens its position in psychiatric and neurological assessment.",https://www.fireflyneuro.com/,https://www.neurofounders.co/startups/firefly-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69512281e577713d25309a79_fireflyneuroscience_logo.jpeg,eysz; graymatters-health; evocal-health
fisher-wallace-labs,Fisher Wallace Labs,USA,Neuromodulation,Therapeutics; Machine Learning,2007,Non-dilutive,tDCS/tES,,,Psychiatry,,Investigational,"Offering an FDA-cleared cranial electrotherapy stimulator that non-invasively treats depression, anxiety, and insomnia via home use.","Fisher Wallace Labs is a long-standing player in cranial electrotherapy stimulation, offering home-use devices for depression and anxiety. Its regulatory pathway and consumer accessibility drive adoption, though clinical efficacy debates persist.",https://www.fisherwallace.com/,https://www.neurofounders.co/startups/fisher-wallace-labs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bce3bc8ab85eb093f0b3a_fisher_wallace_laboratories_logo.jpeg,flow-neuroscience; mave-health; marbles-health; neuroelectrics; samphire-neuroscience
flectothink,FlectoThink,China,Consumer Neurotech,Monitoring; Wellness,2020,Seed,EEG,,,Sleep,,Non-medical,"Developing a flexible EEG sleep patch for non-invasive brain monitoring, sleep-stage assessment, and consumer BCI applications.","FlectoThink sits in the flexible EEG segment of consumer neurotechnology, with sleep monitoring as the clearest near-term product application. Its positioning is differentiated by the use of a lightweight forehead patch, giving it a lower-burden alternative to headband and earbud-based EEG systems.",https://www.flexolinkai.com,https://www.neurofounders.co/startups/flectothink,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d4c2bea146d1309e910d7_5QaIqymi9xuE0Ktk3aQ0t0wvzcB1696888236970_200x200.png,bia-neuroscience; somnee; nextsense; atlas; muse
flourish,Flourish,United States,Tools and Infrastructure,Machine Learning; Data Infrastructure,2024,Series A,Software,,,Research,,Non-medical,Building brain-inspired AI architectures that study cortical circuits and connectomics to improve computational efficiency and continuous learning.,"Neuroscience here serves as an architectural blueprint for AI hardware, not a tool for interfacing with human neural activity, which puts Flourish adjacent to the neurotech landscape rather than inside it. It's worth tracking as a neuroscience-to-computing crossover, seen also in new entrants like The Biological Computing Co.",https://www.flourish.ai,https://www.neurofounders.co/startups/flourish,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a71ffc02a55b4d2758a6c2e_flourish_labs_ai_logo.jpeg,the-biological-computing-co; cortical-labs; koniku; finalspark; maxwell-biosystems
flow-neuroscience,Flow Neuroscience,Sweden,Neuromodulation,Therapeutics; Machine Learning,2016,Series A,tDCS/tES,,,Psychiatry,,FDA approved (PMA),"Delivering a portable tDCS headset that gently stimulates the prefrontal cortex to relieve depression symptoms, med-free, at-home therapy.",Flow Neuroscience combines tDCS with behavioral therapy in a consumer-friendly format for depression treatment. Its FDA approval and integrated app ecosystem position it as a scalable alternative to pharmacotherapy.,https://www.flowneuroscience.com,https://www.neurofounders.co/startups/flow-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69c139c685dee21d16db06ca_flow_neuroscience_logo%20(1).jpeg,fisher-wallace-labs; mave-health; marbles-health; neuroelectrics; samphire-neuroscience
fluent-bci,Fluent,Australia,Brain-Computer Interface,Assistive Technology; Experimental,2025,Pre-seed,ECoG,,,Communication,,Preclinical,"Developing non-invasive brain-computer interfaces that translate neural intent into fluid, real-time control for communication and interaction.","Fluent BCI is developing implantable communication-focused BCIs, targeting high-fidelity neural decoding for real-time interaction. It remains at an early, preclinical stage in a highly competitive space.",https://fluentbci.com/,https://www.neurofounders.co/startups/fluent-bci,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bce79b71a14e7073f7ba8_1751505156963%20(1).jpeg,paradromics; precision-neuroscience; ability-neurotech; inbrain-neuroelectronics; neuroxess
forest-neurotech,Forest Neurotech,USA,Tools and Infrastructure,Data Infrastructure; Experimental,2023,Non-dilutive,Ultrasound,,,Research,,Research only,"Pioneering ultrasound-based brain–computer interfaces using Forest 1, a compact, fob-sized scanner enabling noninvasive whole-brain imaging and neuromodulation.","Forest Neurotech is exploring ultrasound-based whole-brain interfaces, combining imaging and stimulation in a compact form factor. Its approach is highly ambitious but remains research-focused.",https://forestneurotech.org,https://www.neurofounders.co/startups/forest-neurotech,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bce922c2eb27535141a8f_forest_neurotech_logo.jpeg,iconeus; karavela-ai; g-tec; gowerlabs; cortivision
